Unnamed: 0.1,Unnamed: 0,all_authors
19405,19405,"[{'name': 'Joseph R. Moskal', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'David Trisler', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Michael Schneider', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Marshall W. Nirenberg', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}]"
19406,19406,"[{'name': 'Philip Leder', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Marshall W. Nirenberg', 'affiliation': [], 'nobel_prizes': 'NO'}]"
19407,19407,"[{'name': 'Donghui Tan', 'affiliation': ['National Heart Lung and Blood Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Xiaoyu Shao', 'affiliation': ['National Institutes of Health', 'National Heart Lung and Blood Institute'], 'nobel_prizes': 'NO'}, {'name': 'Pu Liu', 'affiliation': ['National Heart Lung and Blood Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Vivian Yawei Guo', 'affiliation': ['National Heart Lung and Blood Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'M Nirenberg', 'affiliation': ['National Heart Lung and Blood Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}]"
19408,19408,"[{'name': 'Robert Ruffolo', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'George S. Eisenbarth', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Jeffrey M. Thompson', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Marshall W. Nirenberg', 'affiliation': [], 'nobel_prizes': 'NO'}]"
19409,19409,"[{'name': 'Merton Bernfield', 'affiliation': ['National Heart Lung and Blood Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Marshall W. Nirenberg', 'affiliation': ['National Heart Lung and Blood Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}]"
19410,19410,"[{'name': 'Dervla M. Mellerick', 'affiliation': ['National Heart Lung and Blood Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Marshall W. Nirenberg', 'affiliation': ['National Institutes of Health', 'National Heart Lung and Blood Institute'], 'nobel_prizes': 'NO'}]"
19411,19411,"[{'name': 'Jeffrey M. Thompson', 'affiliation': ['National Heart Lung and Blood Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'George S. Eisenbarth', 'affiliation': ['National Heart Lung and Blood Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Robert Ruffolo', 'affiliation': ['National Heart Lung and Blood Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Marshall W. Nirenberg', 'affiliation': ['National Heart Lung and Blood Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}]"
19412,19412,"[{'name': 'Johannes Matthaei', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Marshall W. Nirenberg', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}]"
19413,19413,"[{'name': 'Nirankar S. Agarwal', 'affiliation': ['University of Arizona'], 'nobel_prizes': 'NO'}, {'name': 'Victor J. Hruby', 'affiliation': ['University of Arizona'], 'nobel_prizes': 'NO'}, {'name': 'R. Katz', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Werner A. Klee', 'affiliation': ['National Institute of Mental Health'], 'nobel_prizes': 'NO'}, {'name': 'Marshall W. Nirenberg', 'affiliation': ['National Heart Lung and Blood Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}]"
19414,19414,"[{'name': 'S K Sharma', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Werner A. Klee', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Marshall W. Nirenberg', 'affiliation': [], 'nobel_prizes': 'NO'}]"
