Unnamed: 0.1,Unnamed: 0,all_authors
4339,4339,"[{'name': 'D. Shechtman', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}, {'name': 'D. G. Brandon', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}]"
4340,4340,"[{'name': 'D. Van Heerden', 'affiliation': ['National Institute of Standards and Technology'], 'nobel_prizes': 'NO'}, {'name': 'D. Josell', 'affiliation': ['National Institute of Standards and Technology'], 'nobel_prizes': 'NO'}, {'name': 'D. Shechtman', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}]"
4341,4341,"[{'name': 'S.F. Dirnfeld', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}, {'name': 'D. Shechtman', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}]"
4342,4342,"[{'name': 'Dan Shechtman', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}]"
4343,4343,"[{'name': 'D. Shechtman', 'affiliation': ['Johns Hopkins University', 'Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}, {'name': 'W. J. Boettinger', 'affiliation': ['National Institute of Standards and Technology'], 'nobel_prizes': 'NO'}, {'name': 'T. Z. Kattamis', 'affiliation': ['University of Connecticut'], 'nobel_prizes': 'NO'}, {'name': 'F.S. Biancaniello', 'affiliation': ['National Institute of Standards and Technology'], 'nobel_prizes': 'NO'}]"
4344,4344,"[{'name': 'Shlomo Rotter', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Dan Shechtman', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}]"
4345,4345,"[{'name': 'Elmar Willbold', 'affiliation': ['Medizinische Hochschule Hannover'], 'nobel_prizes': 'NO'}, {'name': 'Katharina Kalla', 'affiliation': ['Medizinische Hochschule Hannover'], 'nobel_prizes': 'NO'}, {'name': 'Ivonne Bartsch', 'affiliation': ['Medizinische Hochschule Hannover'], 'nobel_prizes': 'NO'}, {'name': 'Katharina Bobe', 'affiliation': ['Medizinische Hochschule Hannover'], 'nobel_prizes': 'NO'}, {'name': 'Maria Brauneis', 'affiliation': ['Medizinische Hochschule Hannover'], 'nobel_prizes': 'NO'}, {'name': 'Sergei Remennik', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}, {'name': 'Dan Shechtman', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}, {'name': 'J. Nellesen', 'affiliation': ['TU Dortmund University'], 'nobel_prizes': 'NO'}, {'name': 'Wolfgang Tillmann', 'affiliation': ['TU Dortmund University'], 'nobel_prizes': 'NO'}, {'name': 'Carla Vogt', 'affiliation': ['Leibniz University Hannover'], 'nobel_prizes': 'NO'}, {'name': 'Frank Witte', 'affiliation': ['Medizinische Hochschule Hannover'], 'nobel_prizes': 'NO'}]"
4346,4346,"[{'name': 'E. Zolotoyabko', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}, {'name': 'Eli Jacobsohn', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}, {'name': 'D. Shechtman', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}, {'name': 'B. Ya. Kantor', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}, {'name': 'J. Salzman', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}]"
4347,4347,"[{'name': 'Dan Shechtman', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}]"
4348,4348,"[{'name': 'D. Van Heerden', 'affiliation': ['National Institute of Standards and Technology'], 'nobel_prizes': 'NO'}, {'name': 'E. Zolotoyabko', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}, {'name': 'Dan Shechtman', 'affiliation': ['Technion – Israel Institute of Technology'], 'nobel_prizes': 'NO'}]"
4349,4349,"[{'name': 'B. Mozer', 'affiliation': ['Material Sciences (United States)'], 'nobel_prizes': 'NO'}, {'name': 'John W. Cahn', 'affiliation': ['Material Sciences (United States)'], 'nobel_prizes': 'NO'}, {'name': 'D. Gratias', 'affiliation': ['Saint-Gobain (France)'], 'nobel_prizes': 'NO'}, {'name': 'D. Shechtman', 'affiliation': ['Saint-Gobain (France)'], 'nobel_prizes': 'NO'}]"
4350,4350,"[{'name': 'Toshiki Mizobe', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Takahiko Kamibayashi', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'S Suryanarayana', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Brian K. Kobilka', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Mervyn Maze', 'affiliation': [], 'nobel_prizes': 'NO'}]"
4351,4351,"[{'name': 'Aashish Manglik', 'affiliation': ['Stanford University'], 'nobel_prizes': 'NO'}, {'name': 'Brian K. Kobilka', 'affiliation': ['Stanford University'], 'nobel_prizes': 'NO'}]"
4352,4352,"[{'name': 'Markus Björklund', 'affiliation': ['University of Eastern Finland', 'University of Turku', 'Kuopio University Hospital', 'Howard Hughes Medical Institute'], 'nobel_prizes': 'NO'}, {'name': 'Jouni Sirviö', 'affiliation': ['University of Eastern Finland', 'University of Turku', 'Kuopio University Hospital', 'Howard Hughes Medical Institute'], 'nobel_prizes': 'NO'}, {'name': 'Jukka Puoliväli', 'affiliation': ['University of Eastern Finland', 'University of Turku', 'Kuopio University Hospital', 'Howard Hughes Medical Institute'], 'nobel_prizes': 'NO'}, {'name': 'Jukka Sallinen', 'affiliation': ['University of Eastern Finland', 'University of Turku', 'Kuopio University Hospital', 'Howard Hughes Medical Institute'], 'nobel_prizes': 'NO'}, {'name': 'Pekka Jäkälä', 'affiliation': ['University of Eastern Finland', 'University of Turku', 'Kuopio University Hospital', 'Howard Hughes Medical Institute'], 'nobel_prizes': 'NO'}, {'name': 'Mika Scheinin', 'affiliation': ['University of Eastern Finland', 'University of Turku', 'Kuopio University Hospital', 'Howard Hughes Medical Institute'], 'nobel_prizes': 'NO'}, {'name': 'Brian K. Kobilka', 'affiliation': ['University of Eastern Finland', 'University of Turku', 'Kuopio University Hospital', 'Howard Hughes Medical Institute'], 'nobel_prizes': 'NO'}, {'name': 'Paavo Riekkinen', 'affiliation': ['University of Eastern Finland', 'University of Turku', 'Kuopio University Hospital', 'Howard Hughes Medical Institute'], 'nobel_prizes': 'NO'}]"
4353,4353,"[{'name': 'Terry Kenakin', 'affiliation': ['GlaxoSmithKline (Netherlands)'], 'nobel_prizes': 'NO'}, {'name': 'Luigi F. Agnati', 'affiliation': ['Istituti di Ricovero e Cura a Carattere Scientifico'], 'nobel_prizes': 'NO'}, {'name': 'Marc G. Caron', 'affiliation': ['Duke University'], 'nobel_prizes': 'NO'}, {'name': 'Bertil B. Fredholm', 'affiliation': ['Karolinska Institutet'], 'nobel_prizes': 'NO'}, {'name': 'Diego Guidoli', 'affiliation': ['University of Padua'], 'nobel_prizes': 'NO'}, {'name': 'Brian K. Kobilka', 'affiliation': ['Stanford University'], 'nobel_prizes': 'NO'}, {'name': 'Robert Lefkowitz', 'affiliation': ['Duke University'], 'nobel_prizes': 'NO'}, {'name': 'Martin J. Lohse', 'affiliation': ['University of Würzburg'], 'nobel_prizes': 'NO'}, {'name': 'Amina S. Woods', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Kjell Fuxé', 'affiliation': ['Karolinska Institutet'], 'nobel_prizes': 'NO'}]"
