Unnamed: 0.1,Unnamed: 0,all_authors
11927,11927,"[{'name': 'Fumitomo Hide', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'María A. Díaz‐García', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Benjamin J. Schwartz', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Alan J. Heeger', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}]"
11928,11928,"[{'name': 'Chengmei Zhong', 'affiliation': ['University of California, Santa Barbara', 'South China University of Technology'], 'nobel_prizes': 'NO'}, {'name': 'Fei Huang', 'affiliation': ['South China University of Technology'], 'nobel_prizes': 'NO'}, {'name': 'Yong Cao', 'affiliation': ['South China University of Technology'], 'nobel_prizes': 'NO'}, {'name': 'D. Moses', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Alan J. Heeger', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}]"
11929,11929,"[{'name': 'Niyazi Serdar Sariçiftçi', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Laura Smilowitz', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Alan J. Heeger', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Fred Wudl', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}]"
11930,11930,"[{'name': 'Chang Liu', 'affiliation': ['University of Akron'], 'nobel_prizes': 'NO'}, {'name': 'Kai Wang', 'affiliation': ['University of Akron'], 'nobel_prizes': 'NO'}, {'name': 'Pengcheng Du', 'affiliation': ['University of Akron'], 'nobel_prizes': 'NO'}, {'name': 'Enmin Wang', 'affiliation': ['University of Akron'], 'nobel_prizes': 'NO'}, {'name': 'Xiong Gong', 'affiliation': ['University of Akron'], 'nobel_prizes': 'NO'}, {'name': 'Alan J. Heeger', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}]"
11931,11931,"[{'name': 'Soonil D.D.V. Rughooputh', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Mariusz Nowak', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'S. Hotta', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Alan J. Heeger', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Fred Wudl', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}]"
11932,11932,"[{'name': 'Masud Akhtar', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Chwan K. Chiang', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Alan J. Heeger', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'JoAnn Milliken', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Alan G. MacDiarmid', 'affiliation': [], 'nobel_prizes': 'NO'}]"
11933,11933,"[{'name': 'Doojin Vak', 'affiliation': ['University of California, Santa Barbara', 'Gwangju Institute of Science and Technology'], 'nobel_prizes': 'NO'}, {'name': 'Jang Jo', 'affiliation': ['Gwangju Institute of Science and Technology', 'University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Jieun Ghim', 'affiliation': ['Gwangju Institute of Science and Technology', 'University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Chaemin Chun', 'affiliation': ['Gwangju Institute of Science and Technology', 'University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Bogyu Lim', 'affiliation': ['Gwangju Institute of Science and Technology', 'University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Alan J. Heeger', 'affiliation': ['Gwangju Institute of Science and Technology', 'University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Dong‐Yu Kim', 'affiliation': ['Gwangju Institute of Science and Technology', 'University of California, Santa Barbara'], 'nobel_prizes': 'NO'}]"
11934,11934,"[{'name': 'Wang‐Lin Yu', 'affiliation': ['National University of Singapore', 'Institute of Materials Research and Engineering'], 'nobel_prizes': 'NO'}, {'name': 'Yong Cao', 'affiliation': ['IDEX Corporation (United States)'], 'nobel_prizes': 'NO'}, {'name': 'Jian Pei', 'affiliation': ['National University of Singapore', 'Institute of Materials Research and Engineering'], 'nobel_prizes': 'NO'}, {'name': 'Wei Huang', 'affiliation': ['National University of Singapore', 'Institute of Materials Research and Engineering'], 'nobel_prizes': 'NO'}, {'name': 'Alan J. Heeger', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}]"
11935,11935,"[{'name': 'Jianhua Liu', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Yanming Sun', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Preecha Moonsin', 'affiliation': ['Suranaree University of Technology'], 'nobel_prizes': 'NO'}, {'name': 'Martijn Kuik', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Christopher M. Proctor', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Jason Lin', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Ben B. Y. Hsu', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Vinich Promarak', 'affiliation': ['Suranaree University of Technology'], 'nobel_prizes': 'NO'}, {'name': 'Alan J. Heeger', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Thuc‐Quyen Nguyen', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}]"
11936,11936,"[{'name': 'Yu.P. Garmay', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Changhee Lee', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'D. Mihailović', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'Alan J. Heeger', 'affiliation': ['University of California, Santa Barbara'], 'nobel_prizes': 'NO'}, {'name': 'C. R. Fincher', 'affiliation': ['DuPont (United States)'], 'nobel_prizes': 'NO'}, {'name': 'N. Herron', 'affiliation': ['DuPont (United States)'], 'nobel_prizes': 'NO'}, {'name': 'E. M. McCarron', 'affiliation': ['DuPont (United States)'], 'nobel_prizes': 'NO'}]"
