Unnamed: 0.1,Unnamed: 0,all_authors
11817,11817,"[{'name': 'Jeffrey S. Abrams', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Barry Kramer', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'James H. Doroshow', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}]"
11818,11818,"[{'name': 'G M Ringold', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Keith R. Yamamoto', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'J. Michael Bishop', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': [], 'nobel_prizes': 'NO'}]"
11819,11819,"[{'name': 'Perry B. Hackett', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'J. Michael Bishop', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}]"
11820,11820,"[{'name': 'William Pao', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'Theresa Y. Wang', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'Gregory J. Riely', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'Vincent A. Miller', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'Qiulu Pan', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'Marc Ladanyi', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'Maureen F. Zakowski', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'Robert T. Heelan', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'Mark G. Kris', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}]"
11821,11821,"[{'name': 'Harold Varmus', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}]"
11822,11822,"[{'name': 'Perry B. Hackett', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'J. Michael Bishop', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}]"
11823,11823,"[{'name': 'Jean‐Pierre Saint‐Jeannet', 'affiliation': ['National Institutes of Health', 'National Cancer Institute'], 'nobel_prizes': 'NO'}, {'name': 'Xi He', 'affiliation': ['National Institutes of Health', 'National Cancer Institute', 'Harvard University Press'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['National Institutes of Health', 'National Cancer Institute'], 'nobel_prizes': 'NO'}, {'name': 'Igor B. Dawid', 'affiliation': ['National Institutes of Health', 'National Cancer Institute'], 'nobel_prizes': 'NO'}]"
11824,11824,"[{'name': 'Harold Varmus', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}]"
11825,11825,"[{'name': 'Harold Varmus', 'affiliation': [], 'nobel_prizes': 'NO'}]"
11826,11826,"[{'name': 'Robert L. Perlman', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Bing Chen', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Benoit deCrombrugghe', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Michael Emmer', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Michael M. Gottesman', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Ira Pastan', 'affiliation': [], 'nobel_prizes': 'NO'}]"
11827,11827,"[{'name': 'Harold Varmus', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Nancy Quintrell', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Suzanne Ortiz', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}]"
11828,11828,"[{'name': 'Paul A. Luciw', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Hermann Oppermann', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'J. Michael Bishop', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}]"
11829,11829,"[{'name': 'Anthony M.C. Brown', 'affiliation': ['University of California San Francisco Medical Center'], 'nobel_prizes': 'NO'}, {'name': 'Robert S. Wildin', 'affiliation': ['University of California San Francisco Medical Center'], 'nobel_prizes': 'NO'}, {'name': 'Thomas J. Prendergast', 'affiliation': ['University of California San Francisco Medical Center'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['University of California San Francisco Medical Center'], 'nobel_prizes': 'NO'}]"
11830,11830,"[{'name': 'G M Ringold', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Phyllis B. Blair', 'affiliation': ['University of California, Berkeley'], 'nobel_prizes': 'NO'}, {'name': 'J. Michael Bishop', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}]"
11831,11831,"[{'name': 'Manfred Schwab', 'affiliation': ['Genomics (United Kingdom)'], 'nobel_prizes': 'NO'}, {'name': 'Kari Alitalo', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Karl-Heinz Klempnauer', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'J. Michael Bishop', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Fiona J. Gilbert', 'affiliation': ['Icahn School of Medicine at Mount Sinai'], 'nobel_prizes': 'NO'}, {'name': 'Garrett M. Brodeur', 'affiliation': ['Washington University in St. Louis'], 'nobel_prizes': 'NO'}, {'name': 'Milton N. Goldstein', 'affiliation': ['Washington University in St. Louis'], 'nobel_prizes': 'NO'}, {'name': 'Jeffrey M. Trent', 'affiliation': ['University of Arizona'], 'nobel_prizes': 'NO'}]"
11832,11832,"[{'name': 'Anthony M.C. Brown', 'affiliation': ['University of California San Francisco Medical Center'], 'nobel_prizes': 'NO'}, {'name': 'J Papkoff', 'affiliation': ['University of California San Francisco Medical Center'], 'nobel_prizes': 'NO'}, {'name': 'Y K Fung', 'affiliation': ['University of California San Francisco Medical Center'], 'nobel_prizes': 'NO'}, {'name': 'Gregory M. Shackleford', 'affiliation': ['University of California San Francisco Medical Center'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['University of California San Francisco Medical Center'], 'nobel_prizes': 'NO'}]"
11833,11833,"[{'name': 'Harold Varmus', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Robin A. Weiss', 'affiliation': ['University of Washington'], 'nobel_prizes': 'NO'}, {'name': 'Robert R. Friis', 'affiliation': ['University of Washington'], 'nobel_prizes': 'NO'}, {'name': 'Warren Levinson', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'J. Michael Bishop', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}]"
11834,11834,"[{'name': 'Patrick O. Brown', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Michael B. Eisen', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': [], 'nobel_prizes': 'NO'}]"
11835,11835,"[{'name': 'Christoph Seeger', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Don Ganem', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}]"
11836,11836,"[{'name': 'Levi J. Beverly', 'affiliation': ['National Institutes of Health', 'University of Louisville'], 'nobel_prizes': 'NO'}, {'name': 'William W. Lockwood', 'affiliation': ['Cancer Genetics (United States)', 'National Human Genome Research Institute'], 'nobel_prizes': 'NO'}, {'name': 'Parag P. Shah', 'affiliation': ['University of Louisville'], 'nobel_prizes': 'NO'}, {'name': 'Hediye Erdjument‐Bromage', 'affiliation': ['National Cancer Institute', 'National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['Cancer Genetics (United States)', 'National Human Genome Research Institute', 'Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}]"
11837,11837,"[{'name': 'Harold Varmus', 'affiliation': ['National Institutes of Health', 'National Cancer Institute'], 'nobel_prizes': 'NO'}, {'name': 'Edward L. Trimble', 'affiliation': ['National Institutes of Health', 'National Cancer Institute'], 'nobel_prizes': 'NO'}]"
11838,11838,"[{'name': 'Brian C. Lewis', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'David S. Klimstra', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['Cancer Genetics (United States)'], 'nobel_prizes': 'NO'}]"
11839,11839,"[{'name': 'Bruce Alberts', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Marc W. Kirschner', 'affiliation': ['Harvard University'], 'nobel_prizes': 'NO'}, {'name': 'Shirley M. Tilghman', 'affiliation': ['Princeton University'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}]"
11840,11840,"[{'name': 'Edward B. Jakobovits', 'affiliation': ['University of California San Francisco Medical Center'], 'nobel_prizes': 'NO'}, {'name': 'John Majors', 'affiliation': ['University of California San Francisco Medical Center'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['University of California San Francisco Medical Center'], 'nobel_prizes': 'NO'}]"
11841,11841,"[{'name': 'Harold Varmus', 'affiliation': ['National Cancer Institute'], 'nobel_prizes': 'NO'}, {'name': 'Ed Harlow', 'affiliation': ['Harlow College'], 'nobel_prizes': 'NO'}]"
11842,11842,"[{'name': 'Yi‐Chieh Nancy Du', 'affiliation': ['Memorial Sloan Kettering Cancer Center', 'Cornell University'], 'nobel_prizes': 'NO'}, {'name': 'Chen‐Kung Chou', 'affiliation': ['Chang Gung University'], 'nobel_prizes': 'NO'}, {'name': 'David S. Klimstra', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['Memorial Sloan Kettering Cancer Center', 'Cancer Genetics (United States)', 'National Human Genome Research Institute'], 'nobel_prizes': 'NO'}]"
11843,11843,"[{'name': 'Stephen H. Hughes', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Peter K. Vogt', 'affiliation': ['University of Southern California'], 'nobel_prizes': 'NO'}, {'name': 'Elton Stubblefield', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'J. Michael Bishop', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}]"
11844,11844,"[{'name': 'Katerina Politi', 'affiliation': ['Cancer Genetics (United States)'], 'nobel_prizes': 'NO'}, {'name': 'Maureen F. Zakowski', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Pang‐Dian Fan', 'affiliation': ['Cancer Genetics (United States)'], 'nobel_prizes': 'NO'}, {'name': 'Emily A. Schonfeld', 'affiliation': ['Cancer Genetics (United States)'], 'nobel_prizes': 'NO'}, {'name': 'William Pao', 'affiliation': ['Memorial Sloan Kettering Cancer Center'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['Cancer Genetics (United States)'], 'nobel_prizes': 'NO'}]"
11845,11845,"[{'name': 'Yi Li', 'affiliation': ['National Cancer Institute'], 'nobel_prizes': 'NO'}, {'name': 'Wendy P. Hively', 'affiliation': ['National Cancer Institute'], 'nobel_prizes': 'NO'}, {'name': 'Harold E Varmus', 'affiliation': ['National Cancer Institute'], 'nobel_prizes': 'NO'}]"
11846,11846,"[{'name': 'Manfred Schwab', 'affiliation': ['San Francisco Foundation'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'J. Michael Bishop', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}]"
11847,11847,"[{'name': 'Chun-Tsan Deng', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'D. Stéhelin', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'J. Michael Bishop', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['University of California, San Francisco'], 'nobel_prizes': 'NO'}]"
11848,11848,"[{'name': 'William W. Lockwood', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}, {'name': 'Kreshnik Zejnullahu', 'affiliation': ['National Institutes of Health', 'Howard Hughes Medical Institute'], 'nobel_prizes': 'NO'}, {'name': 'James E. Bradner', 'affiliation': ['Dana-Farber Cancer Institute', 'Harvard University'], 'nobel_prizes': 'NO'}, {'name': 'Harold Varmus', 'affiliation': ['National Institutes of Health'], 'nobel_prizes': 'NO'}]"
